Time Elapsed,MaxAngle,Delay Time,Servo Position,Contact Value,Hand Position
0:0:7:604,110,200,20,14,20,
0:0:7:617,110,200,13,11,20,
0:0:7:629,110,200,7,9,20,
0:0:7:642,110,200,4,8,20,
0:0:7:654,110,200,1,0,20,
0:0:7:667,110,200,0,11,20,
0:0:7:680,110,200,0,0,20,
0:0:7:692,110,200,0,0,21,
0:0:7:704,110,200,0,0,20,
0:0:7:716,110,200,0,0,20,
0:0:7:729,110,200,0,3,20,
0:0:7:742,110,200,0,0,20,
0:0:7:754,110,200,0,0,20,
0:0:7:767,110,200,0,0,20,
0:0:7:779,110,200,0,0,20,
0:0:7:791,110,200,0,0,20,
0:0:7:803,110,200,0,0,20,
0:0:7:816,110,200,0,1,20,
0:0:7:829,110,200,0,0,20,
0:0:7:841,110,200,0,8,20,
0:0:7:854,110,200,0,0,20,
0:0:7:866,110,200,0,0,21,
0:0:7:878,110,200,0,0,20,
0:0:7:890,110,200,0,1,20,
0:0:7:904,110,200,1,16,21,
0:0:7:915,110,200,1,1,20,
0:0:7:927,110,200,0,0,20,
0:0:7:941,110,200,0,0,20,
0:0:7:953,110,200,0,0,20,
0:0:7:965,110,200,0,0,20,
0:0:7:977,110,200,0,32,20,
0:0:7:990,110,200,0,0,20,
0:0:8:2,110,200,0,16,20,
0:0:8:15,110,200,0,0,20,
0:0:8:28,110,200,0,0,20,
0:0:8:40,110,200,0,0,20,
0:0:8:52,110,200,0,0,20,
0:0:8:65,110,200,0,0,20,
0:0:8:77,110,200,1,0,20,
0:0:8:89,110,200,1,0,20,
0:0:8:101,110,200,0,0,20,
0:0:8:115,110,200,2,0,20,
0:0:8:127,110,200,1,0,20,
0:0:8:139,110,200,0,0,20,
0:0:8:152,110,200,0,0,20,
0:0:8:164,110,200,0,0,20,
0:0:8:177,110,200,0,0,20,
0:0:8:189,110,200,0,0,23,
0:0:8:202,110,200,0,0,25,
0:0:8:214,110,200,0,1,28,
0:0:8:226,110,200,0,32,33,
0:0:8:239,110,200,0,0,35,
0:0:8:252,110,200,0,3,39,
0:0:8:264,110,200,0,0,39,
0:0:8:276,110,200,0,9,40,
0:0:8:290,110,200,0,0,43,
0:0:8:303,110,200,0,0,40,
0:0:8:316,110,200,0,1,42,
0:0:8:329,110,200,0,0,41,
0:0:8:342,110,200,0,0,43,
0:0:8:355,110,200,0,0,42,
0:0:8:368,110,200,0,8,42,
0:0:8:381,110,200,0,2,43,
0:0:8:394,110,200,0,0,43,
0:0:8:407,110,200,0,0,42,
0:0:8:420,110,200,5,0,45,
0:0:8:433,110,200,13,0,44,
0:0:8:446,110,200,25,32,42,
0:0:8:460,110,200,44,0,42,
0:0:8:473,110,200,61,16,44,
0:0:8:486,110,200,80,12,44,
0:0:8:499,110,200,94,9,44,
0:0:8:512,110,200,102,3,43,
0:0:8:525,110,200,107,0,44,
0:0:8:539,110,200,109,12,43,
0:0:8:552,110,200,109,9,45,
0:0:8:565,110,200,110,6,45,
0:0:8:579,110,200,110,13,46,
0:0:8:592,110,200,110,112,45,
0:0:8:604,110,200,110,256,43,
0:0:8:617,110,200,110,428,43,
0:0:8:631,110,200,110,435,45,
0:0:8:644,110,200,110,405,45,
0:0:8:657,110,200,110,403,44,
0:0:8:671,110,200,110,399,48,
0:0:8:684,110,200,110,399,44,
0:0:8:697,110,200,110,397,43,
0:0:8:711,110,200,110,394,45,
0:0:8:724,110,200,110,393,45,
0:0:8:737,110,200,110,393,43,
0:0:8:751,110,200,110,391,44,
0:0:8:764,110,200,110,391,41,
0:0:8:777,110,200,110,387,44,
0:0:8:791,110,200,110,387,46,
0:0:8:803,110,200,110,386,44,
0:0:8:816,110,200,110,383,43,
0:0:8:829,110,200,110,382,47,
0:0:8:843,110,200,110,378,42,
0:0:8:856,110,200,110,373,46,
0:0:8:869,110,200,110,372,46,
0:0:8:883,110,200,110,373,46,
0:0:8:896,110,200,110,376,47,
0:0:8:909,110,200,110,375,44,
0:0:8:923,110,200,110,367,42,
0:0:8:936,110,200,110,364,44,
0:0:8:949,110,200,110,360,44,
0:0:8:962,110,200,110,361,45,
0:0:8:975,110,200,110,353,45,
0:0:8:988,110,200,110,346,46,
0:0:9:1,110,200,110,335,44,
0:0:9:15,110,200,110,250,43,
0:0:9:28,110,200,110,254,39,
0:0:9:41,110,200,110,249,40,
0:0:9:54,110,200,110,246,37,
0:0:9:66,110,200,110,243,35,
0:0:9:79,110,200,110,243,37,
0:0:9:92,110,200,110,247,29,
0:0:9:104,110,200,110,245,33,
0:0:9:117,110,200,110,241,28,
0:0:9:129,110,200,110,240,24,
0:0:9:142,110,200,110,242,26,
0:0:9:155,110,200,110,249,24,
0:0:9:167,110,200,110,240,24,
0:0:9:180,110,200,110,242,24,
0:0:9:193,110,200,110,240,24,
0:0:9:205,110,200,110,240,20,
0:0:9:218,110,200,110,241,20,
0:0:9:231,110,200,110,242,20,
0:0:9:243,110,200,109,239,20,
0:0:9:256,110,200,109,239,20,
0:0:9:268,110,200,105,242,20,
0:0:9:281,110,200,98,239,20,
0:0:9:293,110,200,97,224,20,
0:0:9:307,110,200,81,160,20,
0:0:9:319,110,200,76,120,20,
0:0:9:331,110,200,66,83,20,
0:0:9:345,110,200,48,0,20,
0:0:9:357,110,200,41,10,20,
0:0:9:369,110,200,33,11,21,
0:0:9:382,110,200,26,15,21,
0:0:9:395,110,200,24,7,20,
0:0:9:407,110,200,23,0,21,
0:0:9:420,110,200,15,0,21,
0:0:9:433,110,200,9,0,23,
0:0:9:445,110,200,5,14,22,
0:0:9:458,110,200,1,0,21,
0:0:9:470,110,200,0,0,21,
0:0:9:483,110,200,0,7,21,
0:0:9:495,110,200,0,0,23,
0:0:9:509,110,200,0,0,21,
0:0:9:522,110,200,0,43,21,
0:0:9:534,110,200,0,0,21,
0:0:9:546,110,200,0,0,20,
0:0:9:560,110,200,0,0,20,
0:0:9:572,110,200,0,2,20,
0:0:9:584,110,200,1,0,21,
0:0:9:596,110,200,2,0,22,
0:0:9:609,110,200,2,0,20,
0:0:9:622,110,200,3,0,23,
0:0:9:634,110,200,4,0,21,
0:0:9:647,110,200,8,0,21,
0:0:9:659,110,200,9,0,21,
0:0:9:671,110,200,8,3,21,
0:0:9:684,110,200,8,0,23,
0:0:9:697,110,200,7,0,20,
0:0:9:709,110,200,9,0,20,
0:0:9:722,110,200,8,3,20,
0:0:9:735,110,200,7,0,20,
0:0:9:747,110,200,7,0,20,
0:0:9:759,110,200,4,0,20,
0:0:9:772,110,200,2,0,23,
0:0:9:784,110,200,1,0,26,
0:0:9:797,110,200,2,3,27,
0:0:9:809,110,200,4,9,35,
0:0:9:822,110,200,3,2,37,
0:0:9:835,110,200,8,0,38,
0:0:9:848,110,200,8,0,43,
0:0:9:861,110,200,8,3,43,
0:0:9:874,110,200,6,0,44,
0:0:9:887,110,200,6,0,42,
0:0:9:901,110,200,6,0,45,
0:0:9:914,110,200,9,0,41,
0:0:9:926,110,200,6,16,45,
0:0:9:939,110,200,4,0,47,
0:0:9:953,110,200,3,0,46,
0:0:9:966,110,200,1,28,42,
0:0:9:979,110,200,0,1,43,
0:0:9:992,110,200,0,11,40,
0:0:10:5,110,200,5,11,45,
0:0:10:18,110,200,15,0,45,
0:0:10:32,110,200,24,0,41,
0:0:10:45,110,200,47,26,44,
0:0:10:58,110,200,67,21,44,
0:0:10:72,110,200,82,13,46,
0:0:10:85,110,200,96,14,45,
0:0:10:97,110,200,104,5,45,
0:0:10:110,110,200,107,13,45,
0:0:10:124,110,200,109,7,43,
0:0:10:137,110,200,110,5,44,
0:0:10:150,110,200,110,11,47,
0:0:10:164,110,200,110,5,44,
0:0:10:177,110,200,110,0,43,
0:0:10:190,110,200,110,11,43,
0:0:10:204,110,200,110,0,46,
0:0:10:217,110,200,110,118,44,
0:0:10:230,110,200,110,182,47,
0:0:10:244,110,200,110,243,44,
0:0:10:257,110,200,110,274,45,
0:0:10:270,110,200,110,239,45,
0:0:10:284,110,200,110,242,44,
0:0:10:297,110,200,110,240,42,
0:0:10:310,110,200,110,243,44,
0:0:10:323,110,200,110,240,47,
0:0:10:337,110,200,110,242,45,
0:0:10:350,110,200,110,240,45,
0:0:10:363,110,200,110,249,42,
0:0:10:377,110,200,110,242,43,
0:0:10:390,110,200,110,243,45,
0:0:10:402,110,200,110,242,47,
0:0:10:416,110,200,110,240,42,
0:0:10:429,110,200,110,243,44,
0:0:10:442,110,200,110,240,46,
0:0:10:456,110,200,110,240,42,
0:0:10:469,110,200,110,242,44,
0:0:10:482,110,200,110,239,44,
0:0:10:496,110,200,110,243,45,
0:0:10:509,110,200,110,239,46,
0:0:10:522,110,200,110,240,42,
0:0:10:535,110,200,110,241,44,
0:0:10:549,110,200,110,242,46,
0:0:10:562,110,200,110,245,45,
0:0:10:575,110,200,110,242,43,
0:0:10:589,110,200,110,248,43,
0:0:10:602,110,200,110,242,42,
0:0:10:615,110,200,110,243,45,
0:0:10:629,110,200,110,242,46,
0:0:10:642,110,200,110,241,45,
0:0:10:655,110,200,110,242,46,
0:0:10:669,110,200,110,247,43,
0:0:10:682,110,200,110,242,44,
0:0:10:695,110,200,110,239,43,
0:0:10:708,110,200,110,242,46,
0:0:10:722,110,200,110,247,44,
0:0:10:735,110,200,110,243,47,
0:0:10:748,110,200,110,242,46,
0:0:10:762,110,200,110,249,43,
0:0:10:775,110,200,110,242,42,
0:0:10:788,110,200,110,243,44,
0:0:10:802,110,200,110,242,44,
0:0:10:814,110,200,110,240,47,
0:0:10:827,110,200,110,242,44,
0:0:10:841,110,200,110,247,44,
0:0:10:854,110,200,110,243,45,
0:0:10:867,110,200,110,248,47,
0:0:10:881,110,200,110,243,46,
0:0:10:894,110,200,110,240,42,
0:0:10:907,110,200,110,239,48,
0:0:10:920,110,200,110,244,44,
0:0:10:934,110,200,110,242,44,
0:0:10:947,110,200,110,245,49,
0:0:10:960,110,200,110,241,46,
0:0:10:974,110,200,110,239,44,
0:0:10:987,110,200,110,240,47,
0:0:11:0,110,200,110,252,43,
0:0:11:14,110,200,110,239,45,
0:0:11:27,110,200,110,240,45,
0:0:11:40,110,200,110,232,43,
0:0:11:53,110,200,110,236,47,
0:0:11:66,110,200,110,235,45,
0:0:11:79,110,200,110,233,45,
0:0:11:92,110,200,110,231,41,
0:0:11:106,110,200,110,215,42,
0:0:11:119,110,200,110,202,40,
0:0:11:132,110,200,110,183,36,
0:0:11:145,110,200,110,185,36,
0:0:11:157,110,200,110,183,35,
0:0:11:170,110,200,110,185,32,
0:0:11:183,110,200,110,187,30,
0:0:11:196,110,200,110,190,28,
0:0:11:208,110,200,110,188,27,
0:0:11:220,110,200,110,189,26,
0:0:11:234,110,200,110,189,27,
0:0:11:246,110,200,110,189,27,
0:0:11:258,110,200,110,191,24,
0:0:11:272,110,200,110,190,24,
0:0:11:284,110,200,110,188,23,
0:0:11:297,110,200,110,188,24,
0:0:11:310,110,200,110,185,25,
0:0:11:322,110,200,110,183,25,
0:0:11:335,110,200,110,171,25,
0:0:11:347,110,200,104,176,25,
0:0:11:361,110,200,99,165,24,
0:0:11:373,110,200,94,127,24,
0:0:11:386,110,200,84,138,20,
0:0:11:399,110,200,73,108,21,
0:0:11:412,110,200,63,87,22,
0:0:11:424,110,200,53,96,21,
0:0:11:437,110,200,44,95,20,
0:0:11:450,110,200,40,88,20,
0:0:11:462,110,200,39,84,20,
0:0:11:475,110,200,33,75,20,
0:0:11:488,110,200,29,68,20,
0:0:11:500,110,200,25,66,20,
0:0:11:513,110,200,22,48,20,
0:0:11:526,110,200,23,64,20,
0:0:11:539,110,200,24,48,20,
0:0:11:551,110,200,26,39,20,
0:0:11:564,110,200,27,124,20,
0:0:11:577,110,200,26,28,20,
0:0:11:589,110,200,25,24,20,
